Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        
"Salerno, Italy",http://www.dirittodiaccessocivico.it/,40.770906,14.79776,Open Data Day and Data Journalism,250,University od Salerno
"San Francisco, Ca, USA",http://www.meetup.com/Code-for-San-Francisco-Civic-Hack-Night/events/219705688/,37.7756408,-122.4136494,"Hackathon, Workshops, Unconference",50-100,Code for San Francisco
"San José, Costa Rica",http://abriendodatoscostarica.org/2015/02/19/el-dia-de-los-datos-abiertos-sera-la-oportunidad-para-reencontrarnos/,9.938702,-84.068061,Segundo encuentro de DaTic@s,20,http://abriendodatoscostarica.org/
"São Carlos, SP, Brasil",https://www.facebook.com/events/1036929276324312/?ref_dashboard_filter=upcoming&source=1&sid_create=3383795839,-22.007168,-47.907711,Panel discussion (Mesa Redonda),~10,Danilo Oliveira - SigaLei
"São Paulo, Brazil",https://www.facebook.com/events/1549107072038957/,-23.5272608,-46.6294958,Initial panel and parallel workshops. Likely themes: water supply and transportation,no limits,"Transparência Hacker Community, POLIGNU (Free Software Studies Group), CGM (Controladoria Geral do Município de São Paulo)"
"Sapporo, Japan",http://codeforsapporo.doorkeeper.jp/events/20693,43.063141,141.35775,"Hackathon, Datathon, Ideathon",~30,Code for Sapporo
"Seattle, WA, USA",http://www.meetup.com/Code-for-Seattle/events/220166485/,47.6531934,-122.3057073,Unconference,60,Code for Seattle http://codeforseattle.org/
"Sendai, Japan",http://tohoku-dev.jp/modules/eguide/event.php?eid=280,38.262879,140.872784,Conference,85,Tohoku developpers community
"Sendai2, Japan",,38.268215,140.869356,,,Code for SENDAI
"Shiga, Japan",http://opendata.shiga.jp/iodd2015/,35.006858,135.877148,"Workshops, Hacking",~50,Code for Shiga / Biwako
"Skopje, Macedonia",http://metamorphosis.org.mk/en/aktivnosti/odbelezhuvanje-na-denot-na-otvorenite-podatoci-2/,42,21.4333,Open Data Day Skopje 2015,50+,Metamorphosis Foundation
"Sofia, Bulgaria",https://www.facebook.com/events/643834369076401/,42.69751,23.32415,"Hackathon on open data topics related to the parliamentary activities, e-Government, energetics and other areas. Possible participation of representatives of the public administration. There are also small prizes.",more than 30,Obshtestvo.bg
"St. Louis, Missouri",http://opendatastl.org/,38.627222,-90.197778,Build for STL,,OpenDataSTL
"St.Petersburg, Russia",https://exchang.es/e/miezhdunarodnyi-dien-otkrytykh-dannykh-21-fievralia,59.935795,30.350761,"Data is game changer. Let's play! Games, drink up and fun.",10+,Open City Foundation
"Stockholm, Sweden",http://www.vinnova.se/sv/Aktuellt--publicerat/Kalendarium/2015/150220-forum-oppna-data7/,59.332653,18.060965,Discussion on Noridic open data week,40,Swedish innovation agency (VINNOVA)
"Stockholm, Sweden",http://www.opennordics.org/open-data-day-afterwork-stockholm/,59.3327653,18.0581755,"(Venue: Belgobaren http://www.belgobaren.se/) 

Welcome to AW with an open data meet-up friday the 20th of february 2015. 

Mingle with the most engaged ""openness people"" in Stockholm! 

Enjoy the evening and network with likeminded people with various backgrounds. 

Together we will get an early start to Open Data Day 2015! ",,"
Event organisers are .SE, Open Knowledge Sweden, Wikimedia Sverige, VINNOVA

Supporters are Creative Commons Sweden"
"Suzaka, Japan",,36.654809,138.308631,"Ideathon, Workshops",~30,Association for Future's Informatization of Suzaka City
"Sydney, Australia",http://www.codeforaustralia.org,-33.8677,151.2089,Workshop,50,Code for Australia
"Takaoka, Japan",https://www.facebook.com/events/855396464503918/,36.741273,137.015386,Hackathon,20,CodeForTAKAOKA
"Tama, Japan",https://www.facebook.com/groups/odcafe.tama/,35.630514,139.464281,"Keynote, Ideathon",70,OpenDataCafe@TAMA
"Tanba, Japan",,35.1771,135.035854,,,Open Data @ Tanba executive committee
"Tel Aviv, Israel",http://www.hasadna.org.il/en/,0,34.788663,Hacking the elections,100,The Public Knowledge Workshop
"Teresina, Piauí, Brazil",http://teresinahc.org/open-data-day,-5.0884,-42.80999,Hackaton,~15,Teresina Hacker Clube
Termoli Italy,https://m.facebook.com/dangerouswater/,,,Open data get together and workshop,160,Team A scuola di open coesione Dangerous water_no grazie
"Tirana, Albania",http://open.data.al/sq/,41.3279457,19.8185323,Workshop OpenCorporates Albania,~50,Albanian Institute of Science / Open Data Albania
"Tokushima, Japan",http://www.tokushima-oss.org/docs/2015012900017/,34.053314,134.560704,Ideathon,30,"Code for Tokushima preparatory committee
"
"Tokyo, Japan",http://codefor.tokyo/,35.681384,139.767294,Ideathon & workshop,60,Code for Tokyo
"Tokyo, Japan",http://www.opencorporates.jp/,35.68944,139.69167,Ideathon,100,Open Corporates Japan
"Toranomon, Japan",http://odd15.okfn.jp/kosodatetown/,35.667584,139.747094,Data Hackathon,,Askoe partners
"Toronto, Ontario, Canada","http://wiki.opendataday.org/Toronto,_Ontario",43.6638,79.3944,"Conference style, Friday, Saturday, and Sunday",200-300,"Citizens, Gov of Ontario, Gov of Toronto"
"Tottori, Japan",http://www.pref.tottori.lg.jp/224203.htm,35.497016,134.228989,Ideathon,30,"Tottori Univ., Code for tottori"
"Toyota, Japan",,35.138071,136.965865,,,Chukyo Univ.
"Torino, Italy",www.facebook.com/events/242360432895708/,,,Open data promotion,50-100,Team A scuola di open coesione GBtoccabarriera
"Trento, Italy",http://www.innovazione.provincia.tn.it/eventi/pagina68.html,46.0664228,11.1257601,Open Data and re-use,40+,Open Data in Trentino Project http:\\dati.trentino.it
"Triangle Region, North Carolina, USA",http://triangleopendataday.org,35.772057,-78.674108,"Hackathon, Workshops, Mentoring",300,"Technology Tank, LLC"
"Tulsa, Oklahoma",http://www.eventbrite.com/e/tulsa-codeacross-2015-tickets-15769256270,36.15853,-95.99222,"Open Data, CodeAcross",50,"Code for Tulsa
"
"Tunis, Tunisia","http://www.elfabrika.tn
https://www.facebook.com/elfabrika",36.81897,10.16579,"talks, rounbtables, workshops",20 - 30,El Fabrika
"Ueda, Japan",http://www.nagano.ac.jp/news/2015-0221/index.html,36.369155,138.223143,"Seminar, Workshop",50,Nagano University
"Ulm, Germany",http://www.meetup.com/datalove-OK-Lab-Ulm/events/220419769/,48.42284,9.957067,Hackday,,datalove and Code for Ulm
"Valencia, Spain",http://www.datasea.es/dt/,7.9064,125.0942,,,Datasea
"Valencia, Spain",http://www.datasea.es/dt/,39.466667°,-0.375,Vídeos sobre los resultados del proyecto de datos de investigación,Sin limite,DATASEA
"Valparaíso, Chile",http://ciudadanointeligente.org,-33.045485,-71.612067,Open Data Promotion,no limit,Fundación Ciudadano Inteligente
"Vancouver, Canada",http://www.meetup.com/net2van/events/219744776/,0,-123.108271,Open Data for Nonprofits,75,NetSquared Vancouver & Open Data BC
"Vancouver, Canada",http://www.meetup.com/OpenDataBC-Vancouver/events/219604434/,0,-123.108271,{CODE} 2015 Vancouver Road Show Stop,100,CODE 2015 & OpenDataBC
"Vancouver, Canada",http://urbanopus.net/smart-city-hackathon/,49.267433,-123.090321,Smart City Hackathon,~50,Urban Opus (urbanopus.net)
"Victoria, British Columbia, Canada",http://www.meetup.com/OpenDataBC/events/220545979/,48.4243467,-123.363234,Open Data Day Code Hackathon,,http://www.opengovgear.com/
Vienna,http://okfn.at/2015/02/01/21-februar-open-data-day/,48.203337,16.358617,Hackathon,20,Open Knowledge Austria
Vienna,http://wiki.opendataday.org/Vienna2016,48.203337,16.358617,Hackathon,20,"Open Knowledge Austria, School of Data - Austria"
Vienna,http://odd15-vienna.eventbrite.com,48.3,16.4,Bulding a Data Sensor Box,20,"School of Data - Austria, Transformer, Vienna Open"
"Vila Velha, ES, Brasil",http://ccdvv.com.br/eventos/open-data-day,-20.3656802,-40.3196228,Hackathon,,"Gustavo RPS, Eduardo Lucas"
"Vilnius, Trakai",http://www.startuplithuania.lt/en/events/open-data-fest-2015?login_form&save_event=780,54.6893865,25.2800243,Hackathon,100,Public Institution Enterprise Lithuania
Virtual - Online,"http://nonprofitcommons.org
",0,0,"Intro to Open Data, presentation, workshop",30 +,"Caravan Studios, Nonprofit Commons"
"Wakayama, Japan",http://wida.jp/2015/02/13/iodd2015inwakayama/,33.696215,135.395652,Mapping party,60,Code for Wakayama
Washington DC,http://dc.opendataday.org/,38.89778,-77.04394,"Workshops, Hacking",,
"Winchester, Hampshire, United Kingdom",http://www.odcamp.org.uk,51.064639,1.319139,"Unconference, networking, maker space",~150,http://odcamp.org.uk/contact-us/
"Windhoek, Namibia",,-22.566,17.075,"Talks, Hackathon",100,"1 Billion Africa, SAIS, NBII"
"Wuppertal, Germany",http://opendatal.de/2015/open-data-day-2015/,51.266846,7.145373,Hackday,,Opendatal
"Xalapa, Veracruz",,19.51998,-96.905149,"Data Expedition, panel & meet up",40,"H. Ayuntamiento de Xalapa, Gobierno del Estado de Veracruz, Universidad Veracruzana, iLab, Social TIC"
yaounde cameroon,http://www.meetup.com/NetSquared-Yaounde-Technology-for-Social-Change/events/220180203/," 3°57'52.92"""," 11°35'16.8"" ",sensitizing the student and public on the importance of open data to education and how to use  data to work for your non-profit organization ,5000,NetSquared Yaoundé: Technology for Social Change
Yokohama,http://yokohamaopendata.jp,35.45176,139.647756,"Workshops, Panels and a Party",,Yokohama IODD2015 Committee
"Yokosuka, Japan",https://atnd.org/events/62436,35.28516,139.674348,Ideathon,,YRP
"Zagreb, Croatia",http://about.codeforcroatia.org/codeacross,45.8132546,15.9728706,"Panel, Workshop, Hackathon",~100,"Code for Croatia, Open Zagreb, GONG, OGP"
,,42.3579158,140.9865738,"Workshops,
Ideathon",10-20,Code for IBURI
