Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        
"Cochabamba, Bolivia",,-17.40007,-66.16565,"Unconference, talks, workshops, data journalism, osm editathon",~30,"HackLab Cochabamba, OpenStreetMap Cochabamba"
"Copenhagen, Valby",,,,,,
"Curitiba, Brazil",meetup.com/openbrazil,-25.451389,-49.251667,CodeAcross Brazil,50,Open Brazil (a Code For America brigade)
"Dakar, Senegal",http://sn.okfn.org/,14.696139,-17.462798,Open discussion and hackathon,50,Open Knowledge Sénégal
"Dar es Salaam, Tanzania",http://buni.or.tz/event/second-open-data-day-in-dar-es-salaam/?instance_id=256,6.8,39.2839,Open Data Day,16,Dar es Salaam Open Knowledge Community and Buni Hub
"Denton, TX, USA",https://www.library.unt.edu/events/open-data-hackathon-unt-0,33.2148412,-97.1330683,"Open Data Conference, Workshops and Hackathon",no limit,UNT Libraries (library.unt.edu)
"Dhaka, Bangladesh",https://www.facebook.com/events/638101336294270/,0,0,"Talks about Open data, Arrange Open Street map workshop, Encourage & arrange program at National Book Fair",50-100,Community of Open Knowledge Bangladesh 
"Donostia-San Sebastián, Spain",http://www.eventbrite.es/e/entradas-open-data-day-2015-15614331887?aff=es2,43.3217,-1.985,Donostia Open Data Hackathon 2015,~30,Deusto Tech
E,https://www.facebook.com/events/1414461902183838/?ref_newsfeed_story_type=regular,,,Twitter Forum,20,OpenNEO
"Edmonton, Alberta",http://www.epl.ca/odd2015,53.543202,-113.489606,Workshops and Hackathon,,Edmonton Public Library and the City of Edmonton
"Enugu, Nigeria",http://hub-10.com/opendatahack15,6.450753,7.492976,Open Data hackathon and seminar. An all day event.,50,"GDG Enugu, Hub 10, Startup Hub"
"Enugu, Nigeria",www.hub-10.com/opendatahack15,6.45615,7.51095,"Open Data Hackathon, Demo, GDG Study JAM. Focus on Open Data on Social Platforms.",45,Hub for Technology and Enterpreneurship (HUB10)
"Frankfurt, Germany",http://www.meetup.com/OKLabFfm/events/219670248/,50.12549,8.706824,Hackathon,,Code for Ffm
"Fukuoka, Japan",http://connpass.com/event/11813/,33.58878,130.390947,Hackathon,30,Code for Fukuoka
"Fukuoka2, Japan",http://www.icer.kyushu-u.ac.jp/OSMUnityWorkshop,33.595731,130.218494,Hackathon with OSM and UNITY,20,Code for Kyudai
"Fukuoka3, Japan",https://www.facebook.com/events/595878460514330/,33.591545,130.40365,Ideathon,15,"Bosai-basters, Rika-fan"
"Gifu,Japan",https://www.facebook.com/pages/CODE-for-GIFU/592157627504886?ref=bookmarks,,136.758673,"Workshops,
Ideathon",20,Code for Gifu
"Granada, Spain",http://osl.ugr.es/2015/01/26/open-data-day-2015/,37.178056,3.600833,Hackathon,,Granada University
